capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-24 18:35:28,0.0,0.19,18.2,24.02
2018-09-24 18:50:28,0.0,0.1,17.68,23.1
2018-09-24 19:05:28,0.0,0.1,18.2,22.54
2018-09-24 19:20:28,0.0,0.1,17.55,22.35
2018-09-24 19:35:28,0.0,0.1,17.94,21.93
2018-09-24 19:50:28,0.0,0.1,17.68,21.55
2018-09-24 20:05:28,0.0,0.1,18.07,21.6
2018-09-24 20:20:28,0.0,0.1,17.81,21.07
2018-09-24 20:35:28,0.0,0.1,17.55,21.03
2018-09-24 20:50:28,0.0,0.1,17.68,21.17
2018-09-24 21:05:28,0.0,0.1,17.94,20.74
2018-09-24 21:20:28,0.0,0.1,17.81,20.3
2018-09-24 21:35:28,0.0,0.1,17.68,19.87
2018-09-24 21:50:28,0.0,0.1,17.68,19.82
2018-09-24 22:05:28,0.0,0.1,17.55,20.55
2018-09-24 22:20:28,0.0,0.1,17.81,20.79
2018-09-24 22:35:28,0.0,0.1,17.55,20.55
2018-09-24 22:50:28,0.0,0.1,17.42,19.96
2018-09-24 23:05:28,0.0,0.1,17.68,19.67
2018-09-24 23:20:28,0.0,0.1,17.68,19.18
2018-09-24 23:35:28,0.0,0.1,17.68,19.82
2018-09-24 23:50:28,0.0,0.1,17.68,19.03
2018-09-25 00:05:28,0.0,0.1,17.68,17.63
2018-09-25 00:20:28,0.0,0.1,17.68,17.22
2018-09-25 00:35:28,0.0,0.1,17.68,17.12
2018-09-25 00:50:28,0.0,0.1,17.68,16.91
2018-09-25 01:05:28,0.0,0.1,17.3,16.97
2018-09-25 01:20:28,0.0,0.1,17.3,17.43
2018-09-25 01:35:28,0.0,0.1,17.55,16.97
2018-09-25 01:50:28,0.0,0.1,17.42,17.22
2018-09-25 02:05:28,0.0,0.1,17.3,17.17
2018-09-25 02:20:28,0.0,0.1,17.55,17.43
2018-09-25 02:35:28,0.0,0.1,17.42,16.66
2018-09-25 02:50:28,0.0,0.1,17.42,16.6
2018-09-25 03:05:28,0.0,0.1,17.55,16.4
2018-09-25 03:20:28,0.0,0.1,17.68,16.24
2018-09-25 03:35:28,0.0,0.1,17.17,15.77
2018-09-25 03:50:28,0.0,0.1,17.17,15.61
2018-09-25 04:05:28,0.0,0.1,17.42,15.5
2018-09-25 04:20:28,0.0,0.1,17.3,15.19
2018-09-25 04:35:28,0.0,0.1,17.3,15.77
2018-09-25 04:50:28,0.0,0.1,17.42,15.61
2018-09-25 05:05:28,0.0,0.1,17.55,15.45
2018-09-25 05:20:28,0.0,0.1,17.3,15.24
2018-09-25 05:35:28,0.0,0.1,17.3,15.35
2018-09-25 05:50:28,0.0,0.1,17.55,16.4
2018-09-25 06:05:28,0.0,0.1,17.3,15.72
2018-09-25 06:20:28,0.0,0.45,16.91,15.82
2018-09-25 06:35:28,0.0,1.95,17.3,16.24
2018-09-25 06:50:28,0.0,4.01,17.42,16.71
2018-09-25 07:05:28,0.0,5.84,17.17,17.83
2018-09-25 07:20:28,0.0,7.78,16.91,19.18
2018-09-25 07:35:28,0.0,15.69,17.55,22.86
2018-09-25 07:50:28,0.0,41.74,17.3,28.86
2018-09-25 08:05:28,0.0,36.46,17.42,32.53
2018-09-25 08:20:28,0.0,66.63,17.3,35.59
2018-09-25 08:35:28,0.0,70.92,17.42,37.24
2018-09-25 08:50:28,0.0,84.42,17.42,39.99
2018-09-25 09:05:28,0.0,92.84,17.55,39.08
2018-09-25 09:20:28,0.0,83.16,17.3,42.72
2018-09-25 09:35:28,0.0,107.99,17.55,42.87
2018-09-25 09:50:28,0.0,61.06,17.3,43.18
2018-09-25 10:05:28,0.0,106.97,17.3,40.38
2018-09-25 10:20:28,0.0,107.99,17.68,44.48
2018-09-25 10:35:28,0.0,138.14,17.42,44.8
2018-09-25 10:50:28,0.0,143.32,17.3,47.69
2018-09-25 11:05:28,0.0,131.78,17.55,44.8
2018-09-25 11:20:28,0.0,146.99,17.55,47.41
2018-09-25 11:35:28,0.0,106.97,17.42,47.92
2018-09-25 11:50:28,0.0,150.84,17.68,47.92
2018-09-25 12:05:28,0.0,150.84,17.81,47.64
2018-09-25 12:20:28,0.0,139.83,17.81,46.03
2018-09-25 12:35:28,0.0,148.89,17.55,44.48
2018-09-25 12:50:28,0.0,148.89,17.94,46.25
2018-09-25 13:05:28,0.0,148.89,17.94,45.12
2018-09-25 13:20:28,0.0,145.13,17.81,45.71
2018-09-25 13:35:28,0.0,141.55,18.07,45.65
2018-09-25 13:50:28,0.0,136.5,18.07,45.22
2018-09-25 14:05:28,0.0,130.28,18.2,45.98
2018-09-25 14:20:28,0.0,124.59,18.07,43.33
2018-09-25 14:35:28,0.0,75.78,17.94,42.77
2018-09-25 14:50:28,0.0,98.55,17.94,42.31
2018-09-25 15:05:28,0.0,101.21,18.07,41.51
2018-09-25 15:20:28,0.0,92.84,18.2,41.02
2018-09-25 15:35:28,0.0,75.78,18.2,39.51
2018-09-25 15:50:28,0.0,43.6,17.94,35.27
2018-09-25 16:05:28,0.0,26.8,18.2,33.29
2018-09-25 16:20:28,0.0,18.56,17.94,33.78
2018-09-25 16:35:28,0.0,26.53,17.94,33.29
2018-09-25 16:50:28,0.0,19.97,17.94,31.38
2018-09-25 17:05:28,0.0,16.46,18.2,28.55
2018-09-25 17:20:28,0.0,8.53,17.81,26.86
2018-09-25 17:35:28,0.0,6.89,18.07,25.88
2018-09-25 17:50:28,0.0,5.08,17.81,25.07
2018-09-25 18:05:28,0.0,3.09,18.07,24.38
2018-09-25 18:20:28,0.0,1.15,18.07,23.6
2018-09-25 18:35:28,0.0,0.15,17.81,22.12
2018-09-25 18:50:28,0.0,0.1,18.2,21.41
2018-09-25 19:05:28,0.0,0.1,17.94,20.3
2018-09-25 19:20:28,0.0,0.1,17.81,19.96
2018-09-25 19:35:28,0.0,0.1,17.94,19.87
2018-09-25 19:50:28,0.0,0.1,17.55,19.18
2018-09-25 20:05:28,0.0,0.1,17.68,19.18
2018-09-25 20:20:28,0.0,0.1,17.94,18.88
2018-09-25 20:35:28,0.0,0.1,17.81,18.78
2018-09-25 20:50:28,0.0,0.1,17.81,18.93
2018-09-25 21:05:28,0.0,0.1,17.81,18.88
2018-09-25 21:20:28,0.0,0.1,17.55,18.39
2018-09-25 21:35:28,0.0,0.1,17.55,19.13
2018-09-25 21:50:28,0.0,0.1,17.55,19.08
2018-09-25 22:05:28,0.0,0.1,17.68,19.08
2018-09-25 22:20:28,0.0,0.1,17.68,18.69
2018-09-25 22:35:28,0.0,0.1,17.42,18.64
2018-09-25 22:50:28,0.0,0.1,17.68,17.98
2018-09-25 23:05:28,0.0,0.1,17.55,18.13
2018-09-25 23:20:28,0.0,0.1,17.3,18.03
2018-09-25 23:35:28,0.0,0.1,17.68,18.13
2018-09-25 23:50:28,0.0,0.1,17.42,18.24
2018-09-26 00:05:28,0.0,0.1,17.17,17.93
2018-09-26 00:20:28,0.0,0.1,17.55,17.98
2018-09-26 00:35:28,0.0,0.1,17.55,18.03
2018-09-26 00:50:28,0.0,0.1,17.3,18.08
2018-09-26 01:05:28,0.0,0.1,17.55,17.83
2018-09-26 01:20:28,0.0,0.1,17.55,17.38
2018-09-26 01:35:28,0.0,0.1,17.68,17.53
2018-09-26 01:50:28,0.0,0.1,17.68,17.07
2018-09-26 02:05:28,0.0,0.1,17.42,17.53
2018-09-26 02:20:28,0.0,0.1,17.68,17.83
2018-09-26 02:35:28,0.0,0.1,17.68,17.63
2018-09-26 02:50:28,0.0,0.1,17.3,17.38
2018-09-26 03:05:28,0.0,0.1,17.55,17.38
2018-09-26 03:20:28,0.0,0.1,17.55,17.48
2018-09-26 03:35:28,0.0,0.1,17.68,17.22
2018-09-26 03:50:28,0.0,0.1,17.04,18.24
2018-09-26 04:05:28,0.0,0.1,17.68,18.74
2018-09-26 04:20:28,0.0,0.1,17.55,19.03
2018-09-26 04:35:28,0.0,0.1,17.17,18.64
2018-09-26 04:50:28,0.0,0.1,17.68,18.34
2018-09-26 05:05:28,0.0,0.1,17.68,18.49
2018-09-26 05:20:28,0.0,0.1,17.68,18.78
2018-09-26 05:35:28,0.0,0.1,17.17,18.69
2018-09-26 05:50:28,0.0,0.1,17.04,19.03
2018-09-26 06:05:28,0.0,0.1,17.42,19.13
2018-09-26 06:20:28,0.0,0.39,17.04,19.03
2018-09-26 06:35:28,0.0,1.8,17.42,19.13
2018-09-26 06:50:28,0.0,3.99,17.42,19.96
2018-09-26 07:05:28,0.0,6.19,17.3,20.93
2018-09-26 07:20:28,0.0,8.55,17.17,22.07
2018-09-26 07:35:28,0.0,18.63,17.3,24.66
2018-09-26 07:50:28,0.0,23.58,17.55,27.58
2018-09-26 08:05:28,0.0,16.73,17.17,29.26
2018-09-26 08:20:28,0.0,50.56,17.3,31.29
2018-09-26 08:35:28,0.0,73.76,17.68,32.67
2018-09-26 08:50:28,0.0,70.47,17.3,33.78
2018-09-26 09:05:28,0.0,81.94,17.3,33.56
2018-09-26 09:20:28,0.0,76.3,17.55,36.32
2018-09-26 09:35:28,0.0,45.84,17.3,35.27
2018-09-26 09:50:28,0.0,53.56,17.42,38.65
2018-09-26 10:05:28,0.0,93.62,17.68,37.52
2018-09-26 10:20:28,0.0,127.37,17.3,39.51
2018-09-26 10:35:28,0.0,90.59,17.68,38.98
2018-09-26 10:50:28,0.0,136.5,17.55,40.48
2018-09-26 11:05:28,0.0,112.27,17.55,40.62
2018-09-26 11:20:28,0.0,145.13,17.81,42.01
2018-09-26 11:35:28,0.0,146.99,17.55,43.28
2018-09-26 11:50:28,0.0,146.99,17.81,43.39
2018-09-26 12:05:28,0.0,146.99,17.42,43.64
2018-09-26 12:20:28,0.0,146.99,17.55,43.85
2018-09-26 12:35:28,0.0,124.59,17.94,42.52
2018-09-26 12:50:28,0.0,146.99,17.94,43.49
2018-09-26 13:05:28,0.0,145.13,17.81,43.96
2018-09-26 13:20:28,0.0,112.27,17.68,42.57
2018-09-26 13:35:28,0.0,139.83,18.07,43.85
2018-09-26 13:50:28,0.0,134.89,18.2,43.64
2018-09-26 14:05:28,0.0,128.81,18.07,42.36
2018-09-26 14:20:28,0.0,107.99,18.32,40.38
2018-09-26 14:35:28,0.0,114.54,17.94,40.77
2018-09-26 14:50:28,0.0,110.09,18.2,40.72
2018-09-26 15:05:28,0.0,100.3,18.07,40.57
2018-09-26 15:20:28,0.0,93.62,17.94,39.89
2018-09-26 15:35:28,0.0,76.3,18.2,38.08
2018-09-26 15:50:28,0.0,24.41,18.32,35.72
2018-09-26 16:05:28,0.0,15.84,17.94,31.91
2018-09-26 16:20:28,0.0,19.44,17.94,31.47
2018-09-26 16:35:28,0.0,31.47,18.2,33.33
2018-09-26 16:50:28,0.0,28.25,18.32,30.85
2018-09-26 17:05:28,0.0,10.55,18.07,29.0
2018-09-26 17:20:28,0.0,8.7,17.94,27.62
2018-09-26 17:35:28,0.0,7.01,17.68,26.69
2018-09-26 17:50:28,0.0,4.95,17.94,26.19
2018-09-26 18:05:28,0.0,2.88,18.07,25.7
2018-09-26 18:20:28,0.0,0.97,17.81,24.89
2018-09-26 18:35:28,0.0,0.1,18.2,24.2
2018-09-26 18:50:28,0.0,0.1,17.94,24.06
2018-09-26 19:05:28,0.0,0.1,17.68,23.79
2018-09-26 19:20:28,0.0,0.1,17.94,23.37
2018-09-26 19:35:28,0.0,0.1,18.07,23.65
2018-09-26 19:50:28,0.0,0.1,17.81,23.51
2018-09-26 20:05:28,0.0,0.1,17.94,23.65
2018-09-26 20:20:28,0.0,0.1,17.42,23.24
2018-09-26 20:35:28,0.0,0.1,18.07,22.72
2018-09-26 20:50:28,0.0,0.1,17.55,22.26
2018-09-26 21:05:28,0.0,0.1,17.94,22.16
2018-09-26 21:20:28,0.0,0.1,17.55,22.02
2018-09-26 21:35:28,0.0,0.1,17.55,22.4
2018-09-26 21:50:28,0.0,0.1,17.55,21.45
2018-09-26 22:05:28,0.0,0.1,17.55,22.58
2018-09-26 22:20:28,0.0,0.1,17.3,22.77
2018-09-26 22:35:28,0.0,0.1,17.81,22.82
2018-09-26 22:50:28,0.0,0.1,17.68,22.4
2018-09-26 23:05:28,0.0,0.1,17.94,22.82
2018-09-26 23:20:28,0.0,0.1,17.81,22.68
2018-09-26 23:35:28,0.0,0.1,17.94,22.72
2018-09-26 23:50:28,0.0,0.1,17.42,22.91
2018-09-27 00:05:28,0.0,0.1,17.68,22.77
2018-09-27 00:20:28,0.0,0.1,17.42,22.86
2018-09-27 00:35:28,0.0,0.1,17.55,22.91
2018-09-27 00:50:28,0.0,0.1,17.81,22.77
2018-09-27 01:05:28,0.0,0.1,17.3,22.68
2018-09-27 01:20:28,0.0,0.1,17.68,22.12
2018-09-27 01:35:28,0.0,0.1,17.42,21.88
2018-09-27 01:50:28,0.0,0.1,17.3,22.3
2018-09-27 02:05:28,0.0,0.1,17.3,22.63
2018-09-27 02:20:28,0.0,0.1,17.81,22.07
2018-09-27 02:35:28,0.0,0.1,17.68,21.64
2018-09-27 02:50:28,0.0,0.1,17.81,21.12
2018-09-27 03:05:28,0.0,0.1,17.81,20.88
2018-09-27 03:20:28,0.0,0.1,17.42,20.74
2018-09-27 03:35:28,0.0,0.1,17.42,20.45
2018-09-27 03:50:28,0.0,0.1,17.3,19.87
2018-09-27 04:05:28,0.0,0.1,17.3,20.16
2018-09-27 04:20:28,0.0,0.1,17.42,19.67
2018-09-27 04:35:28,0.0,0.1,17.3,19.38
2018-09-27 04:50:28,0.0,0.1,17.42,19.53
2018-09-27 05:05:28,0.0,0.1,17.42,19.67
2018-09-27 05:20:28,0.0,0.1,17.68,19.96
2018-09-27 05:35:28,0.0,0.1,17.17,19.62
2018-09-27 05:50:28,0.0,0.1,17.81,19.48
2018-09-27 06:05:28,0.0,0.1,17.3,19.33
2018-09-27 06:20:28,0.0,0.33,17.42,19.08
2018-09-27 06:35:28,0.0,1.73,17.55,19.62
2018-09-27 06:50:28,0.0,4.29,17.42,19.82
2018-09-27 07:05:28,0.0,7.02,17.55,20.69
2018-09-27 07:20:28,0.0,9.63,17.55,22.07
2018-09-27 07:35:28,0.0,16.07,17.55,24.11
2018-09-27 07:50:28,0.0,33.36,17.55,27.27
2018-09-27 08:05:28,0.0,20.37,17.17,28.73
2018-09-27 08:20:28,0.0,61.06,17.55,32.0
2018-09-27 08:35:28,0.0,61.75,17.3,33.38
2018-09-27 08:50:28,0.0,64.67,17.42,33.83
2018-09-27 09:05:28,0.0,82.54,17.42,36.64
2018-09-27 09:20:28,0.0,51.52,17.55,38.08
2018-09-27 09:35:28,0.0,101.21,17.3,38.18
2018-09-27 09:50:28,0.0,81.34,17.55,40.53
2018-09-27 10:05:28,0.0,63.18,17.42,40.77
2018-09-27 10:20:28,0.0,120.63,17.55,42.87
2018-09-27 10:35:28,0.0,130.28,17.94,43.03
2018-09-27 10:50:28,0.0,134.89,17.81,44.01
2018-09-27 11:05:28,0.0,110.09,17.94,42.87
2018-09-27 11:20:28,0.0,124.59,17.94,45.06
2018-09-27 11:35:28,0.0,143.32,17.68,45.38
2018-09-27 11:50:28,0.0,145.13,17.68,46.91
2018-09-27 12:05:28,0.0,146.99,17.94,46.63
2018-09-27 12:20:28,0.0,141.55,17.94,46.2
2018-09-27 12:35:28,0.0,124.59,17.94,45.17
2018-09-27 12:50:28,0.0,145.13,18.07,45.12
2018-09-27 13:05:28,0.0,139.83,18.2,44.69
2018-09-27 13:20:28,0.0,113.4,17.81,44.22
2018-09-27 13:35:28,0.0,136.5,17.81,45.12
2018-09-27 13:50:28,0.0,130.28,17.94,45.65
2018-09-27 14:05:28,0.0,124.59,18.2,43.64
2018-09-27 14:20:28,0.0,83.79,17.94,40.92
2018-09-27 14:35:28,0.0,89.14,17.94,42.92
2018-09-27 14:50:28,0.0,102.12,18.2,42.31
2018-09-27 15:05:28,0.0,85.72,17.94,43.18
2018-09-27 15:20:28,0.0,88.44,18.32,41.71
2018-09-27 15:35:28,0.0,73.27,18.32,38.98
2018-09-27 15:50:28,0.0,33.68,18.2,36.04
2018-09-27 16:05:28,0.0,18.63,18.07,32.58
2018-09-27 16:20:28,0.0,16.17,17.94,32.53
2018-09-27 16:35:28,0.0,24.82,18.2,34.5
2018-09-27 16:50:28,0.0,28.48,18.2,32.49
2018-09-27 17:05:28,0.0,12.72,18.2,29.66
2018-09-27 17:20:28,0.0,10.63,17.94,28.29
2018-09-27 17:35:28,0.0,8.06,17.94,26.95
2018-09-27 17:50:28,0.0,5.86,17.94,26.51
2018-09-27 18:05:28,0.0,2.86,18.07,25.2
2018-09-27 18:20:28,0.0,0.81,17.81,23.65
2018-09-27 18:35:28,0.0,0.1,18.07,22.54
2018-09-27 18:50:28,0.0,0.1,18.07,21.69
2018-09-27 19:05:28,0.0,0.1,17.68,22.44
2018-09-27 19:20:28,0.0,0.1,17.81,22.02
2018-09-27 19:35:28,0.0,0.1,17.94,21.88
2018-09-27 19:50:28,0.0,0.1,17.81,21.83
2018-09-27 20:05:28,0.0,0.1,17.68,21.88
2018-09-27 20:20:28,0.0,0.1,17.68,22.12
2018-09-27 20:35:28,0.0,0.1,17.94,21.36
2018-09-27 20:50:28,0.0,0.1,18.07,21.36
2018-09-27 21:05:28,0.0,0.1,17.81,20.5
2018-09-27 21:20:28,0.0,0.1,17.42,20.26
2018-09-27 21:35:28,0.0,0.1,17.42,19.96
2018-09-27 21:50:28,0.0,0.1,17.81,20.01
2018-09-27 22:05:28,0.0,0.1,17.81,19.87
2018-09-27 22:20:28,0.0,0.1,17.68,20.06
2018-09-27 22:35:28,0.0,0.1,17.81,19.82
2018-09-27 22:50:28,0.0,0.1,17.81,19.57
2018-09-27 23:05:28,0.0,0.1,17.55,20.21
2018-09-27 23:20:28,0.0,0.1,17.68,20.55
2018-09-27 23:35:28,0.0,0.1,17.55,20.35
2018-09-27 23:50:28,0.0,0.1,17.3,19.57
2018-09-28 00:05:28,0.0,0.1,17.94,19.18
2018-09-28 00:20:28,0.0,0.1,17.3,18.98
2018-09-28 00:35:28,0.0,0.1,17.42,19.03
2018-09-28 00:50:28,0.0,0.1,17.55,19.33
2018-09-28 01:05:28,0.0,0.1,17.81,19.67
2018-09-28 01:20:28,0.0,0.1,17.81,19.62
2018-09-28 01:35:28,0.0,0.1,17.42,18.74
2018-09-28 01:50:28,0.0,0.1,17.55,18.24
2018-09-28 02:05:28,0.0,0.1,17.17,17.98
2018-09-28 02:20:28,0.0,0.1,17.55,17.73
2018-09-28 02:35:28,0.0,0.1,17.68,17.63
2018-09-28 02:50:28,0.0,0.1,17.81,17.38
2018-09-28 03:05:28,0.0,0.1,17.3,17.38
2018-09-28 03:20:28,0.0,0.1,17.17,17.07
2018-09-28 03:35:28,0.0,0.1,17.68,16.97
2018-09-28 03:50:28,0.0,0.1,17.42,17.02
2018-09-28 04:05:28,0.0,0.1,17.55,17.17
2018-09-28 04:20:28,0.0,0.1,17.55,17.17
2018-09-28 04:35:28,0.0,0.1,17.55,16.71
2018-09-28 04:50:28,0.0,0.1,17.55,16.6
2018-09-28 05:05:28,0.0,0.1,17.3,16.71
2018-09-28 05:20:28,0.0,0.1,17.42,16.6
2018-09-28 05:35:28,0.0,0.1,17.42,16.5
2018-09-28 05:50:28,0.0,0.1,17.3,16.5
2018-09-28 06:05:28,0.0,0.1,17.68,16.45
2018-09-28 06:20:28,0.0,0.28,17.68,16.81
2018-09-28 06:35:28,0.0,1.56,17.17,16.86
2018-09-28 06:50:28,0.0,3.71,17.3,17.27
2018-09-28 07:05:28,0.0,6.25,17.42,18.29
2018-09-28 07:20:28,0.0,8.31,17.17,19.43
2018-09-28 07:35:28,0.0,13.38,17.55,21.5
2018-09-28 07:50:28,0.0,23.1,17.42,25.83
2018-09-28 08:05:28,0.0,35.01,17.3,27.49
2018-09-28 08:20:28,0.0,60.72,17.55,32.67
2018-09-28 08:35:28,0.0,66.23,17.42,34.77
2018-09-28 08:50:28,0.0,60.39,17.3,34.32
2018-09-28 09:05:28,0.0,72.31,17.55,36.73
2018-09-28 09:20:28,0.0,54.91,17.3,37.61
2018-09-28 09:35:28,0.0,67.04,17.68,40.18
2018-09-28 09:50:28,0.0,66.23,17.68,41.21
2018-09-28 10:05:28,0.0,61.41,17.42,41.12
2018-09-28 10:20:28,0.0,110.09,17.55,44.96
2018-09-28 10:35:28,0.0,128.81,17.94,43.7
2018-09-28 10:50:28,0.0,134.89,17.68,44.06
2018-09-28 11:05:28,0.0,136.5,17.81,43.8
2018-09-28 11:20:28,0.0,130.28,17.81,45.76
2018-09-28 11:35:28,0.0,104.98,17.55,46.41
2018-09-28 11:50:28,0.0,145.13,18.07,47.97
2018-09-28 12:05:28,0.0,145.13,17.55,48.14
2018-09-28 12:20:28,0.0,133.32,17.94,48.32
2018-09-28 12:35:28,0.0,110.09,17.94,48.26
2018-09-28 12:50:28,0.0,148.89,17.94,49.0
2018-09-28 13:05:28,0.0,145.13,18.07,48.6
2018-09-28 13:20:28,0.0,120.63,18.2,46.36
2018-09-28 13:35:28,0.0,136.5,17.94,47.8
2018-09-28 13:50:28,0.0,131.78,18.32,47.97
2018-09-28 14:05:28,0.0,125.97,17.94,46.03
2018-09-28 14:20:28,0.0,89.86,18.32,44.11
2018-09-28 14:35:28,0.0,112.27,18.2,43.23
2018-09-28 14:50:28,0.0,100.3,18.07,43.08
2018-09-28 15:05:28,0.0,71.84,18.07,43.23
2018-09-28 15:20:28,0.0,89.14,18.45,40.97
2018-09-28 15:35:28,0.0,81.34,18.32,38.22
2018-09-28 15:50:28,0.0,26.53,18.32,34.68
2018-09-28 16:05:28,0.0,20.01,18.32,31.34
2018-09-28 16:20:28,0.0,14.23,18.2,31.69
2018-09-28 16:35:28,0.0,17.48,18.32,33.16
2018-09-28 16:50:28,0.0,24.24,18.2,30.41
2018-09-28 17:05:28,0.0,10.56,17.94,28.15
2018-09-28 17:20:28,0.0,8.65,18.32,26.86
2018-09-28 17:35:28,0.0,7.35,17.81,25.79
2018-09-28 17:50:28,0.0,4.64,18.07,24.79
2018-09-28 18:05:28,0.0,2.4,17.94,23.56
2018-09-28 18:20:28,0.0,0.69,17.94,22.58
2018-09-28 18:35:28,0.0,0.1,17.68,21.74
2018-09-28 18:50:28,0.0,0.1,17.94,21.07
2018-09-28 19:05:28,0.0,0.1,18.07,20.4
2018-09-28 19:20:28,0.0,0.1,17.94,19.72
2018-09-28 19:35:28,0.0,0.1,18.07,19.53
2018-09-28 19:50:28,0.0,0.1,17.81,19.28
2018-09-28 20:05:28,0.0,0.1,17.94,19.57
2018-09-28 20:20:28,0.0,0.1,17.68,19.18
2018-09-28 20:35:28,0.0,0.1,18.07,19.33
2018-09-28 20:50:28,0.0,0.1,17.94,18.98
2018-09-28 21:05:28,0.0,0.1,17.94,19.03
2018-09-28 21:20:28,0.0,0.1,17.68,18.93
2018-09-28 21:35:28,0.0,0.1,17.55,18.64
2018-09-28 21:50:28,0.0,0.1,17.94,18.13
2018-09-28 22:05:28,0.0,0.1,17.94,17.43
2018-09-28 22:20:28,0.0,0.1,17.94,17.07
2018-09-28 22:35:28,0.0,0.1,17.94,17.07
2018-09-28 22:50:28,0.0,0.1,17.68,16.76
2018-09-28 23:05:28,0.0,0.1,17.68,16.97
2018-09-28 23:20:28,0.0,0.1,17.42,16.86
2018-09-28 23:35:28,0.0,0.1,17.55,16.97
2018-09-28 23:50:28,0.0,0.1,17.68,16.71
2018-09-29 00:05:28,0.0,0.1,17.55,16.97
2018-09-29 00:20:28,0.0,0.1,17.81,16.76
2018-09-29 00:35:28,0.0,0.1,17.68,16.66
2018-09-29 00:50:28,0.0,0.1,17.42,16.4
2018-09-29 01:05:28,0.0,0.1,17.42,16.19
2018-09-29 01:20:28,0.0,0.1,17.81,15.35
2018-09-29 01:35:28,0.0,0.1,17.81,14.97
2018-09-29 01:50:28,0.0,0.1,17.81,14.81
2018-09-29 02:05:28,0.0,0.1,17.3,14.65
2018-09-29 02:20:28,0.0,0.1,17.42,14.43
2018-09-29 02:35:28,0.0,0.1,17.81,14.87
2018-09-29 02:50:28,0.0,0.1,17.3,14.7
2018-09-29 03:05:28,0.0,0.1,17.3,14.49
2018-09-29 03:20:28,0.0,0.1,17.3,14.49
2018-09-29 03:35:28,0.0,0.1,17.55,14.33
2018-09-29 03:50:28,0.0,0.1,17.68,14.38
2018-09-29 04:05:28,0.0,0.1,17.55,15.03
2018-09-29 04:20:28,0.0,0.1,17.42,15.66
2018-09-29 04:35:28,0.0,0.1,17.3,16.6
2018-09-29 04:50:28,0.0,0.1,17.55,16.03
2018-09-29 05:05:28,0.0,0.1,17.55,15.29
2018-09-29 05:20:28,0.0,0.1,17.42,15.13
2018-09-29 05:35:28,0.0,0.1,17.68,16.34
2018-09-29 05:50:28,0.0,0.1,17.17,16.14
2018-09-29 06:05:28,0.0,0.1,17.42,15.24
2018-09-29 06:20:28,0.0,0.24,17.3,15.45
2018-09-29 06:35:28,0.0,1.42,17.68,15.35
2018-09-29 06:50:28,0.0,3.56,17.17,15.87
2018-09-29 07:05:28,0.0,5.74,17.42,16.6
2018-09-29 07:20:28,0.0,8.05,17.68,17.93
2018-09-29 07:35:28,0.0,12.03,17.17,19.57
2018-09-29 07:50:28,0.0,35.96,17.68,23.97
2018-09-29 08:05:28,0.0,25.12,17.17,25.11
2018-09-29 08:20:28,0.0,52.02,17.55,29.48
2018-09-29 08:35:28,0.0,43.96,17.3,32.13
2018-09-29 08:50:28,0.0,33.78,17.55,32.04
2018-09-29 09:05:28,0.0,87.06,17.68,35.09
2018-09-29 09:20:28,0.0,72.79,17.42,34.95
2018-09-29 09:35:28,0.0,102.12,17.68,40.18
2018-09-29 09:50:28,0.0,110.09,17.42,40.23
2018-09-29 10:05:28,0.0,33.15,17.55,38.98
2018-09-29 10:20:28,0.0,105.96,17.55,42.36
2018-09-29 10:35:28,0.0,123.24,17.81,42.82
2018-09-29 10:50:28,0.0,136.5,17.94,44.22
2018-09-29 11:05:28,0.0,131.78,17.55,41.71
2018-09-29 11:20:28,0.0,138.14,17.81,43.96
2018-09-29 11:35:28,0.0,121.92,17.94,43.96
2018-09-29 11:50:28,0.0,145.13,17.68,45.76
2018-09-29 12:05:28,0.0,145.13,17.94,46.47
2018-09-29 12:20:28,0.0,127.37,17.81,46.3
2018-09-29 12:35:28,0.0,93.62,17.94,46.3
2018-09-29 12:50:28,0.0,145.13,17.81,47.13
2018-09-29 13:05:28,0.0,139.83,17.81,45.76
2018-09-29 13:20:28,0.0,127.37,17.94,43.96
2018-09-29 13:35:28,0.0,136.5,18.2,46.63
2018-09-29 13:50:28,0.0,131.78,17.81,45.44
2018-09-29 14:05:28,0.0,125.97,17.81,44.27
2018-09-29 14:20:28,0.0,86.38,18.2,43.08
2018-09-29 14:35:28,0.0,101.21,18.2,42.26
2018-09-29 14:50:28,0.0,99.42,18.2,42.67
2018-09-29 15:05:28,0.0,69.58,17.94,42.47
2018-09-29 15:20:28,0.0,87.06,17.94,42.11
2018-09-29 15:35:28,0.0,80.16,18.32,39.03
2018-09-29 15:50:28,0.0,23.9,17.81,35.45
2018-09-29 16:05:28,0.0,19.37,18.32,32.0
2018-09-29 16:20:28,0.0,15.53,18.32,31.78
2018-09-29 16:35:28,0.0,22.31,18.07,33.11
2018-09-29 16:50:28,0.0,12.88,18.2,29.61
2018-09-29 17:05:28,0.0,10.4,18.2,27.89
2018-09-29 17:20:28,0.0,8.55,18.32,26.1
2018-09-29 17:35:28,0.0,6.77,18.07,25.2
2018-09-29 17:50:28,0.0,4.41,18.2,24.25
2018-09-29 18:05:28,0.0,2.2,17.68,23.1
2018-09-29 18:20:28,0.0,0.58,18.07,22.16
2018-09-29 18:35:28,0.0,0.1,17.81,21.41
